Chemical;Sensor;UnitRoot;Stationarity
петя_пластизоль_71;S4;1;0
петя_пластизоль_71;S5;1;0
петя_пластизоль_71;S6;1;0
петя_пластизоль_71;S7;1;0
петя_пластизоль_71;S8;1;0
петя_краска_72;S1;1;0
петя_краска_72;S2;0;1
петя_краска_72;S3;1;0
петя_краска_72;S4;0;1
петя_краска_72;S5;0;1
петя_краска_72;S6;0;1
петя_краска_72;S7;1;0
петя_краска_72;S8;1;0
еж_зеленый_73;S1;0;1
еж_зеленый_73;S2;1;0
еж_зеленый_73;S3;1;0
еж_зеленый_73;S4;1;0
еж_зеленый_73;S5;0;1
еж_зеленый_73;S6;0;1
еж_зеленый_73;S7;1;0
еж_зеленый_73;S8;1;0
гусеница_74;S1;0;1
гусеница_74;S2;0;1
гусеница_74;S3;0;1
гусеница_74;S4;0;1
гусеница_74;S5;0;1
гусеница_74;S6;0;1
гусеница_74;S7;0;1
гусеница_74;S8;0;1
