Chemical;Sensor;JB;p-value;skew;kurtosis
медуза_49;S3;66.18956363994835;4.23758942164e-15;-1.6294789662700502;4.583572443717754
медуза_49;S4;516.0095336161532;8.91155456322e-113;-2.8494337141727497;11.358941825216078
медуза_49;S5;72.32867148231735;1.96801564195e-16;-1.7295428497024898;4.543019409315438
медуза_49;S6;116.50044350746985;5.03790672824e-26;-2.0052615892434438;5.6501376982662865
медуза_49;S7;8.082234706303678;0.0175778208053;0.6157837076124384;2.7061810465834486
медуза_49;S8;85.67183071410142;2.49228861252e-19;-1.781034973583504;5.074709016356526
миньон_35;S1;24.81011293307763;4.09781576465e-06;-0.8832014500089413;4.3419519105746245
миньон_35;S2;6.894469653438328;0.031833540042;-0.5843894717432466;3.038129966447312
миньон_35;S3;11.907373328704946;0.00259625134595;-0.7533901259661377;2.697665203259498
миньон_35;S4;28.256940175513098;7.31279507004e-07;-1.159809937881163;3.4733349562735385
миньон_35;S5;22.763179974260638;1.1403502794e-05;-1.0619556044481817;3.0633409875986244
миньон_35;S6;36.419209366959656;1.23500628665e-08;-1.276925049000619;3.837552690912656
миньон_35;S7;0.13672785212411268;0.933920533702;-0.02561390859959384;2.843490304709142
миньон_35;S8;16.368296304334923;0.000279042027254;-0.8587439715948537;3.5448296895830804
мишка_зеленый_42;S1;3.7456349462960667;0.153690033691;-0.34465857405166855;2.4825275597220107
мишка_зеленый_42;S2;57.288934247064546;3.62966038261e-13;-1.346538283758739;5.027420281441481
мишка_зеленый_42;S3;41.780815695111215;8.46079450547e-10;-1.1911598066053435;4.616062251287949
мишка_зеленый_42;S4;684.3406014959198;2.4964709339e-149;-2.8922874932202496;13.113143479420973
мишка_зеленый_42;S5;328.05726879696425;5.79787978893e-72;-2.518917536543271;9.29995461223911
мишка_зеленый_42;S6;300.6041388832477;5.30445320956e-66;-2.5004034155404975;8.883527213296597
мишка_зеленый_42;S7;1.6904133608815461;0.429468586281;0.15602115096746066;2.512231404958677
мишка_зеленый_42;S8;77.26496354731268;1.667732313e-17;-1.5200307035136813;5.466436430848375
мишка_рыжий_33;S1;13.68597437461403;0.00106691157002;-0.7984684661038952;2.5945793983696923
мишка_рыжий_33;S2;8.159632273732102;0.0169105745981;-0.5964284212069365;2.5578099811630155
мишка_рыжий_33;S3;15.291648752836029;0.000478036066009;-0.8515550940940447;2.6360357366813205
мишка_рыжий_33;S4;221.03304212259079;1.00759207719e-48;-2.0449050034184055;8.207179530342566
мишка_рыжий_33;S5;262.670372679304;9.1591103811e-58;-2.3522966845775675;8.474185771556103
мишка_рыжий_33;S6;402.4209378376019;4.12480713967e-88;-2.674429606068822;10.156027817253959
мишка_рыжий_33;S7;2.969356697340997;0.226575207174;-0.14027671404218273;2.2856799835792088
мишка_рыжий_33;S8;15.314827128008769;0.000472527995049;-0.8500905885267642;2.616547751412664
пепе_11;S1;96.24282912507833;1.26222039753e-21;-1.6642274804087938;5.8303488022537735
пепе_11;S2;59.22587691318946;1.3780476517e-13;-1.4868568873065637;4.704202968512635
пепе_11;S3;53.65878446417064;2.22916903023e-12;-1.3934059527449352;4.696096722043924
пепе_11;S4;304.6962110067679;6.85580492161e-67;-2.479274258831003;8.987354064902782
пепе_11;S5;206.4807496683578;1.45638064928e-45;-2.259669271672188;7.531052699869412
пепе_11;S6;214.52306577976694;2.61160893301e-47;-2.2237886099040782;7.771696391221435
пепе_11;S7;328.04465027980467;5.83457575217e-72;-2.120887447561575;9.86105336173812
пепе_11;S8;17.49499285672795;0.000158858541417;-0.9031820064167141;3.4551156786148605
петя_краска_74;S1;5.791722359212342;0.0552514232019;-0.4011043148204779;2.2892027774650265
петя_краска_74;S2;2.245380108470341;0.325403263766;-0.07800128595567107;3.6488665865730785
петя_краска_74;S3;4.02844362770807;0.133424191835;-0.39420738380457604;2.578772869761678
петя_краска_74;S4;29.15796400953262;4.6604576254e-07;-1.1976773438277242;3.213714155824212
петя_краска_74;S5;30.264414555459187;2.6801918378e-07;-1.2239305908783116;3.1040899621932976
петя_краска_74;S6;41.19425147990851;1.13444108893e-09;-1.3979907660072066;3.5943466133060897
петя_краска_74;S7;35.65113008418931;1.81324072814e-08;0.9716591676612621;4.815161804549306
петя_краска_74;S8;44.78123605057793;1.88746168888e-10;-1.4450268101168302;3.7278864680054666
петя_пластизоль_73;S1;23.51125418345117;7.84505554322e-06;-0.9712836979158863;3.943303329888573
петя_пластизоль_73;S2;2.2408808629177774;0.326136122378;0.03197253372375045;3.663613792519476
петя_пластизоль_73;S3;20.388164779258727;3.73909302503e-05;0.4578244425994729;1.209603220241518
петя_пластизоль_73;S4;1.7698083385871177;0.412753725865;-0.29623926725615995;3.0023560179477937
петя_пластизоль_73;S5;17.101446023243017;0.000193405214777;-0.9206152898889411;2.9564993815167364
петя_пластизоль_73;S6;35.52895650414239;1.92745887805e-08;-1.2810970247383573;3.6944259540900393
петя_пластизоль_73;S7;0.021529325398151736;0.989293068943;-0.032632983339638336;3.0032608298383643
петя_пластизоль_73;S8;8.820433269372849;0.0121525453819;-0.6561603287870713;3.1652934270753734
пони_12;S1;20.186316985448613;4.13615648868e-05;0.2498612267447887;1.0624306326304107
пони_12;S2;7.662179746020728;0.0216859677946;-0.6146734761919754;2.907927963215429
пони_12;S3;4.365543485774865;0.112728642405;-0.2389662716886107;2.2015806823608908
пони_12;S4;41.40351132993342;1.02174318344e-09;-0.8840675996966144;5.255208333333332
пони_12;S5;167.2080109386638;4.91181226991e-37;-1.7289486698925758;7.605233034022812
пони_12;S6;12.96974649354909;0.00152635422471;-0.7858096249274228;2.679805317524616
пони_12;S7;29.532969051197107;3.86364533589e-07;1.167477478585204;2.363003663003666
пони_12;S8;2.5053090972252434;0.285745264503;-0.3378233081294004;2.7989466175096567
пупс_32;S1;5.39654301357409;0.0673217774648;-0.11695917748162706;1.99219500888389
пупс_32;S2;6.3117449248722135;0.0426012168127;-0.12114402875400465;1.9076571756431133
пупс_32;S3;4.93089733227187;0.0849707103378;0.05664923240692734;2.017557797730176
пупс_32;S4;7.411162612685763;0.0245859212609;-0.37711535372220295;2.0507272747377048
